作業CD,作業カテゴリ,作業名,作業内容
7,入荷,検品・開荷・陳列,テンポ・ルイゲンアイテムカウント・印刷/配信
8,,,
15,カウンター,,
98,作業5/件,,
99,集動員,,
109,客注入力確認,,
110,特別帯付,,
111,定時OO,定時作業,
112,定時O○O,元金作業,
113,,SC/ASS入金,
114,入金O,,
115,補正O,,
116,補正M,,
117,備品,,
118,定時O,,
130,閉店M,,
131,定時QOM,定時作業,
132,定時Q2M,,
133,定時Q3M,,
134,金庫M,,
135,,閉店作業,
136,練習M,,
137,備品M,,
138,備品,,
139,入金M,,
140,SO/ASS入金,,
141,定出し,,
142,空箱出し,,
143,有持,,
150,不良品処理,,
151,清掃,,
152,パンチ処理,,
153,二次変更,,
154,在庫確認,,
160,BR変更,,
161,メール便,,
162,宛名化,,
163,値切りチェック,,
164,特価値下げ報告,,
165,,,
166,商品写チェック,,
167,ヒートマジック,,
176,羽毛布団圧縮,,
177,リサーブ登録,リサーブセルフ,
178,棚卸面散,,
179,委託販技術,,
180,アフター,,
181,教育,,
182,ion1,,
183,週明,,
184,リサイクル登録,,
185,面接,,
186,入社,,
190,シフト作成,,
191,シフト作成,,
192,作業量日,,
276,作業量日,,
277,羽毛セルフ,,
998,大切り/ヘルプ,,
999,余り/余白,,
1000,,,
9999,未使用,,
